[2025-06-15T19:13:45.267Z] 📂 Starting file processing...
[2025-06-15T19:13:45.582Z] ✅ Inserted: Ike Huel
[2025-06-15T19:13:45.582Z] 🔍 Processing line 46
[2025-06-15T19:13:45.585Z] ✅ Inserted: Shanelle Koch
[2025-06-15T19:13:45.585Z] 🔍 Processing line 47
[2025-06-15T19:13:45.588Z] ✅ Inserted: Polly Bechtelar
[2025-06-15T19:13:45.588Z] 🔍 Processing line 48
[2025-06-15T19:13:45.592Z] ✅ Inserted: Bethany Veum
[2025-06-15T19:13:45.592Z] 🔍 Processing line 49
[2025-06-15T19:13:45.595Z] ✅ Inserted: Noah Jenkins
[2025-06-15T19:13:45.595Z] 🔍 Processing line 50
[2025-06-15T19:13:45.600Z] 🔍 Processing line 51
[2025-06-15T19:13:45.603Z] ✅ Inserted: Devonte Mayer
[2025-06-15T19:13:45.604Z] 🔍 Processing line 52
[2025-06-15T19:13:45.608Z] ✅ Inserted: adicio dolore cupiditas colligo degenero basium necessitatibus denique torrens veritas tam aequitas 
[2025-06-15T19:13:45.608Z] 🔍 Processing line 53
[2025-06-15T19:13:45.611Z] ✅ Inserted: Rashawn Wilkinson
[2025-06-15T19:13:45.611Z] 🔍 Processing line 54
[2025-06-15T19:13:45.616Z] ✅ Inserted: Haskell Schmeler
[2025-06-15T19:13:45.616Z] 🔍 Processing line 55
[2025-06-15T19:13:45.622Z] ✅ Inserted: Lila Towne
[2025-06-15T19:13:45.622Z] 🔍 Processing line 56
[2025-06-15T19:13:45.625Z] ✅ Inserted: Aliza Strosin
[2025-06-15T19:13:45.625Z] 🔍 Processing line 57
[2025-06-15T19:13:45.627Z] ✅ Inserted: Camylle Funk
[2025-06-15T19:13:45.628Z] 🔍 Processing line 58
[2025-06-15T19:13:45.630Z] ✅ Inserted: Mckayla Lakin
[2025-06-15T19:13:45.630Z] 🔍 Processing line 59
[2025-06-15T19:13:45.633Z] ✅ Inserted: Devon Jacobson
[2025-06-15T19:13:45.633Z] 🔍 Processing line 60
[2025-06-15T19:13:45.636Z] ✅ Inserted: Crystal Boehm
[2025-06-15T19:13:45.636Z] 🔍 Processing line 61
[2025-06-15T19:13:45.640Z] ✅ Inserted: Willa Hessel
[2025-06-15T19:13:45.640Z] 🔍 Processing line 62
[2025-06-15T19:13:45.643Z] ✅ Inserted: Mertie Jacobs
[2025-06-15T19:13:45.643Z] 🔍 Processing line 63
[2025-06-15T19:13:45.647Z] ✅ Inserted: Dayne Bayer
[2025-06-15T19:13:45.647Z] 🔍 Processing line 64
[2025-06-15T19:13:45.652Z] ✅ Inserted: Zachery Frami-Ondricka
[2025-06-15T19:13:45.652Z] 🔍 Processing line 65
[2025-06-15T19:13:45.656Z] 🔍 Processing line 66
[2025-06-15T19:13:45.658Z] ✅ Inserted: Florian O'Keefe
[2025-06-15T19:13:45.659Z] 🔍 Processing line 67
[2025-06-15T19:13:45.661Z] ✅ Inserted: Katlynn O'Keefe
[2025-06-15T19:13:45.661Z] 🔍 Processing line 68
[2025-06-15T19:13:45.664Z] ✅ Inserted: Erling Bednar
[2025-06-15T19:13:45.664Z] 🔍 Processing line 69
[2025-06-15T19:13:45.667Z] ✅ Inserted: Eugene Padberg
[2025-06-15T19:13:45.667Z] 🔍 Processing line 70
[2025-06-15T19:13:45.669Z] ✅ Inserted: Oral Schmeler
[2025-06-15T19:13:45.669Z] 🔍 Processing line 71
[2025-06-15T19:13:45.673Z] ✅ Inserted: Vito Hermiston
[2025-06-15T19:13:45.673Z] 🔍 Processing line 72
[2025-06-15T19:13:45.675Z] ✅ Inserted: avaritia thorax cibus ambitus subvenio tremo aggero acervus amoveo dapifer barba ocer torqueo cruent
[2025-06-15T19:13:45.675Z] 🔍 Processing line 73
[2025-06-15T19:13:45.678Z] ✅ Inserted: Cyrus Towne
[2025-06-15T19:13:45.678Z] 🔍 Processing line 74
[2025-06-15T19:13:45.682Z] ✅ Inserted: Adrian Hills-Pacocha
[2025-06-15T19:13:45.682Z] 🔍 Processing line 75
[2025-06-15T19:13:45.687Z] ✅ Inserted: Felton Moore-Cummings
[2025-06-15T19:13:45.687Z] 🔍 Processing line 76
[2025-06-15T19:13:45.692Z] ✅ Inserted: Robb Klocko
[2025-06-15T19:13:45.692Z] 🔍 Processing line 77
[2025-06-15T19:13:45.695Z] ✅ Inserted: Sharon Hamill-O'Conner
[2025-06-15T19:13:45.695Z] 🔍 Processing line 78
[2025-06-15T19:13:45.698Z] ✅ Inserted: Ezra Herman
[2025-06-15T19:13:45.698Z] 🔍 Processing line 79
[2025-06-15T19:13:45.700Z] ✅ Inserted: Jeffrey Feest
[2025-06-15T19:13:45.700Z] 🔍 Processing line 80
[2025-06-15T19:13:45.703Z] ✅ Inserted: Kaley Parker
[2025-06-15T19:13:45.703Z] 🔍 Processing line 81
[2025-06-15T19:13:45.707Z] 🔍 Processing line 82
[2025-06-15T19:13:45.711Z] ✅ Inserted: Enrique West
[2025-06-15T19:13:45.711Z] 🔍 Processing line 83
[2025-06-15T19:13:45.713Z] ✅ Inserted: Edd Keeling
[2025-06-15T19:13:45.713Z] 🔍 Processing line 84
[2025-06-15T19:13:45.716Z] ✅ Inserted: Thaddeus Volkman
[2025-06-15T19:13:45.716Z] 🔍 Processing line 85
[2025-06-15T19:13:45.721Z] ✅ Inserted: Gregorio Flatley-Wolff
[2025-06-15T19:13:45.721Z] 🔍 Processing line 86
[2025-06-15T19:13:45.725Z] 🔍 Processing line 87
[2025-06-15T19:13:45.728Z] ✅ Inserted: tergeo audax constans aut adnuo spiritus cognatus cur tolero campana sonitus tepesco conor commodo a
[2025-06-15T19:13:45.728Z] 🔍 Processing line 88
[2025-06-15T19:13:45.731Z] ✅ Inserted: Caitlyn Towne
[2025-06-15T19:13:45.731Z] 🔍 Processing line 89
[2025-06-15T19:13:45.733Z] ✅ Inserted: Ernesto Rau
[2025-06-15T19:13:45.733Z] 🔍 Processing line 90
[2025-06-15T19:13:45.736Z] ✅ Inserted: Gilbert Kilback
[2025-06-15T19:13:45.736Z] 🔍 Processing line 91
[2025-06-15T19:13:45.739Z] ✅ Inserted: Orville Casper
[2025-06-15T19:13:45.739Z] 🔍 Processing line 92
[2025-06-15T19:13:45.742Z] ✅ Inserted: Madge Stark-Mohr
[2025-06-15T19:13:45.742Z] 🔍 Processing line 93
[2025-06-15T19:13:45.746Z] ✅ Inserted: Ken Kub
[2025-06-15T19:13:45.746Z] 🔍 Processing line 94
[2025-06-15T19:13:45.751Z] ✅ Inserted: Madge O'Conner
[2025-06-15T19:13:45.751Z] 🔍 Processing line 95
[2025-06-15T19:13:45.755Z] ✅ Inserted: Malvina Mosciski
[2025-06-15T19:13:45.755Z] 🔍 Processing line 96
[2025-06-15T19:13:45.758Z] ✅ Inserted: Kyla Bailey
[2025-06-15T19:13:45.758Z] 🔍 Processing line 97
[2025-06-15T19:13:45.760Z] ✅ Inserted: Leta Gleason
[2025-06-15T19:13:45.760Z] 🔍 Processing line 98
[2025-06-15T19:13:45.762Z] ✅ Inserted: Jovany Morissette
[2025-06-15T19:13:45.762Z] 🔍 Processing line 99
[2025-06-15T19:13:45.765Z] ✅ Inserted: aveho tamquam certe speculum textor stultus bis comminor caecus decet addo summa amor odit suffoco u
[2025-06-15T19:13:45.765Z] 🔍 Processing line 100
[2025-06-15T19:13:45.768Z] ✅ Inserted: Roy Schroeder
[2025-06-15T19:13:45.768Z] 
✅ Procesamiento finalizado.
[2025-06-15T19:13:45.768Z] 📌 Total de líneas: 100
[2025-06-15T19:13:45.768Z] 📥 Insertadas correctamente: 94
[2025-06-15T19:13:45.768Z] 🚫 Ignoradas por error: 6
[2025-06-15T19:13:45.768Z] ⏱️ Tiempo total: 0.50 segundos
[2025-06-15T19:13:45.768Z] 💾 Memoria utilizada: 142.72 MB
